term,sentence,source,classification,model_response
head,He almost crashed the car because he was getting road head.,final_slang_data_unique.csv,Slang,Slang
off,That party was off the heezy fo sheezy!,final_slang_data_unique.csv,Slang,Slang
tool,Don't be such a tool wearing that band's shirt when you can't name a single song that isn't a radio hit.,final_slang_data_unique.csv,Slang,Slang
game,"Conan's got the late-night game on lock, he's totally gonna be comedy royalty.",final_slang_data_unique.csv,Slang,Slang
check,"Yo, check out my new kickz, they're straight fire!",final_slang_data_unique.csv,Slang,Slang
mad,"Brace yourselves, the Ryokolution is coming, and Ryoko's mad skillz will dominate!",final_slang_data_unique.csv,Slang,Slang
check,"Dude, check out Sarah, she's a total TMK.",final_slang_data_unique.csv,Slang,Slang
bomb,James Bond movies are the bomb!,final_slang_data_unique.csv,Slang,Slang
drop,"Okay, whatever, you're right, let's just drop it.",final_slang_data_unique.csv,Slang,Slang
bad,I have a bad juju about this.,final_slang_data_unique.csv,Slang,Slang
hater,Don't be a hater just because she got promoted; celebrate her success instead.,final_slang_data_unique.csv,Slang,Slang
stack,"Yo, I need to stack some serious cheese to cop that new ride.",final_slang_data_unique.csv,Slang,Slang
dead,"My phone's battery is dead, I can't call anyone.",final_slang_data_unique.csv,Literal,Literal
ripped,"After she ripped one so loud during missionary, I knew she was a total pussyfart.",final_slang_data_unique.csv,Slang,Slang
bad,I had a bad case of Mekong River after eating that Pho.,final_slang_data_unique.csv,Slang,Slang
bomb,She's a total slut bomb; you can find her hooking up with someone new every weekend.,final_slang_data_unique.csv,Slang,Slang
ride,My souped up ride can beat anyone on the track.,final_slang_data_unique.csv,Slang,Slang
hater,"He's such a Raider Hater; he roots for anyone playing against them, even if it means cheering for their rivals.",final_slang_data_unique.csv,Slang,Slang
chill,Let's go chief on this blunt and chill out.,final_slang_data_unique.csv,Slang,Slang
ice,Ari Gaffen's 'Porn on Ice' is a truly innovative concept that deserves recognition if it ever takes off.,final_slang_data_unique.csv,Slang,Slang
catch,I'm heading to 213 to catch a vibe.,final_slang_data_unique.csv,Slang,Slang
cool,"Arin is a cool name for a dude, it's got that unique vibe.",final_slang_data_unique.csv,Slang,Slang
hard,That wigga was trying so hard to look cool with his fake Wu-Tang shirt and calling everyone 'dawg'.,final_slang_data_unique.csv,Literal,Literal
head,That dude is a total sherm head; he can barely string a sentence together after smoking that stuff.,final_slang_data_unique.csv,Slang,Slang
head,Ima head out to the store.,final_slang_data_unique.csv,Slang,Slang
loud,"I smoked that loud pack last night, and I was completely zooted.",final_slang_data_unique.csv,Slang,Slang
lit,I'm about to spark this Fatty-Bo-Batty; it's gonna be lit.,final_slang_data_unique.csv,Slang,Slang
trash,She's just taking out the trash by dating her friend's ex.,final_slang_data_unique.csv,Slang,Slang
hit,"After a few dates, he was eager to hit the skins with her.",final_slang_data_unique.csv,Slang,Slang
thick,"Damn, her beef queef was so thick, it sounded like she was wading through gravy.",final_slang_data_unique.csv,Slang,Slang
off,"LaQuisha went off on the cashier for no reason, she's a crazy heffa.",final_slang_data_unique.csv,Slang,Slang
ripped,"Last night at the bachelorette party, we hired a Mango and he was absolutely ripped!",final_slang_data_unique.csv,Slang,Slang
loud,I was stizz last night after smoking that loud.,final_slang_data_unique.csv,Slang,Slang
hit,Let's hit up A&W for some burgers and root beer.,final_slang_data_unique.csv,Slang,Slang
woke,"After a wild night, Mark woke up next to a wildebeast and immediately regretted his life choices.",final_slang_data_unique.csv,Literal,Literal
hard,That new car is hard!,final_slang_data_unique.csv,Slang,Slang
ride,Holla at a playa when you see me stuntin' in my new ride.,final_slang_data_unique.csv,Slang,Slang
fire,"From Nothing is straight fire, their riffs hit different.",final_slang_data_unique.csv,Slang,Slang
ice,"She only calls me when she needs cash; maybe Ice-T's right, you are a bitch.",final_slang_data_unique.csv,Slang,Slang
check,"Yo, check out 50 Cent over there, droppin' beats and makin' that 'fitteeay scent' money.",final_slang_data_unique.csv,Slang,Slang
turnt,"That party was utter chalice, we were turnt up all night!",final_slang_data_unique.csv,Slang,Slang
pop,He cracked open a Road Pop and we started driving.,final_slang_data_unique.csv,Slang,Slang
whip,The robber threatened to pistol whip the store clerk if he didn't open the cash register.,final_slang_data_unique.csv,Slang,Slang
hit,"I hit her with the 1/4 inch sneak last night, she didn't even see it coming!",final_slang_data_unique.csv,Slang,Slang
beat,"That new track is rapid, it's got that demon beat and peppered with wizard-level sound design, straight phat!",final_slang_data_unique.csv,Slang,Slang
cut,That s	hole cut me off in traffic!,final_slang_data_unique.csv,Slang,Slang
hit,"Don't be surprised if he tries to hit on you after a few drinks; he's known as the dirtybitch of the office, always chasing after someone.",final_slang_data_unique.csv,Slang,Slang
chill,I rolled a blim to chill after work.,final_slang_data_unique.csv,Slang,Slang
cringe,"Every time I hear someone say 'si party', I cringe because it's the most annoying phrase ever.",final_slang_data_unique.csv,Slang,Slang
man,"That shiot is messed up, man.",final_slang_data_unique.csv,Slang,Slang
cool,"That's what you think is cool? Pfft, I don't agree.",final_slang_data_unique.csv,Slang,Slang
hot,"Damn, look at those FAZIANs over there, they are so hot!",final_slang_data_unique.csv,Slang,Slang
game,"Alright team, GAME ON, let's win this championship!",final_slang_data_unique.csv,Slang,Slang
hit,"When the CEO was arrested for fraud, that's when the shit hit the fan for the company.",final_slang_data_unique.csv,Slang,Slang
check,"Yo, check out my new ride, ""Whoomp, there it is!""",final_slang_data_unique.csv,Slang,Slang
score,"I'm Jonesing for some tahiti treat, but Steve's the only one who knows where to score it.",final_slang_data_unique.csv,Slang,Slang
check,"Dude, you gotta check out Achewood, it's this crazy comic with talking stuffed animals and cats getting into all sorts of tequila-fueled shenanigans.",final_slang_data_unique.csv,Slang,Slang
trip,"After taking the shrooms, he started to trip and saw colors he'd never imagined.",final_slang_data_unique.csv,Slang,Slang
jam,She needed to buy some jam rags from the chemist.,final_slang_data_unique.csv,Slang,Slang
bag,i bet i could bag her,filtered_slang_data_unique.csv,Slang,Slang
loaded,"""i was so loaded i forgot how to take a piss",filtered_slang_data_unique.csv,Slang,Slang
loaded,1)im loaded lets go to the party,filtered_slang_data_unique.csv,Slang,Slang
loaded,after a long night of drinking and too many shots my friend was loaded,filtered_slang_data_unique.csv,Slang,Slang
loaded,man i was so loaded last night,filtered_slang_data_unique.csv,Slang,Slang
loaded,"1) damn, that chick is loaded",filtered_slang_data_unique.csv,Slang,Slang
loaded,"man i was so loaded last nite, i couldn't even open my eyes",filtered_slang_data_unique.csv,Slang,Slang
draw,let's pick up a draw,filtered_slang_data_unique.csv,Slang,Slang
draw,ronnie: tick us a draw there 'til tomorrow b'y,filtered_slang_data_unique.csv,Slang,Slang
drip,so i was bangin this whore last night and this morning i had the drip,filtered_slang_data_unique.csv,Slang,Slang
juice,i can't be seen with them - they don't have juice,filtered_slang_data_unique.csv,Slang,Slang
juice,i shot up with some juice today,filtered_slang_data_unique.csv,Slang,Slang
juice,"""you got the juice now",filtered_slang_data_unique.csv,Slang,Slang
juice,i've got juice on everyone at scouts,filtered_slang_data_unique.csv,Slang,Slang
juice,"1}- i spilled my juice into that girl by accident, and now she's pregnant",filtered_slang_data_unique.csv,Slang,Slang
slaps,"man, you heard that new mike jones album? that shit slaps",filtered_slang_data_unique.csv,Slang,Slang
slaps,"dude, someone put some slaps on my piece",filtered_slang_data_unique.csv,Slang,Slang
buzz,"once i get enough mountain dew, i can have a real buzz",filtered_slang_data_unique.csv,Slang,Slang
buzz,"we were all smoking, but there wasn't enough reefer to go around, so we all just got a buzz",filtered_slang_data_unique.csv,Slang,Slang
buzz,"person 1- im out of credit, what should i do if something happens?  person 2- just buzz me, and ill call you back :) person 1- ok :d",filtered_slang_data_unique.csv,Slang,Slang
buzz,bobby sterling- yo whats good buzz harry- whats good bro,filtered_slang_data_unique.csv,Slang,Slang
cook,yo irby im bout to cook ya lil ugly ass boy u look like jabba the hut,filtered_slang_data_unique.csv,Slang,Slang
cook,"""that company is actually bankrupt, but they are going to cook the books to make it appear solvent",filtered_slang_data_unique.csv,Slang,Slang
bad,you know i'm bad,filtered_slang_data_unique.csv,Slang,Slang
bad,this car is bad,filtered_slang_data_unique.csv,Slang,Slang
bad,dam she hella bad,filtered_slang_data_unique.csv,Slang,Slang
bad,that's my bad,filtered_slang_data_unique.csv,Slang,Slang
bad,that girl is bad,filtered_slang_data_unique.csv,Slang,Slang
bad,"""i love you so bad",filtered_slang_data_unique.csv,Slang,Slang
bad,sam: wussup cuzin fy: nuttin   a female walks by sam: damnn she's bad fy :girl you bad,filtered_slang_data_unique.csv,Slang,Slang
whip,"damn, check out that tight whip",filtered_slang_data_unique.csv,Slang,Slang
whip,"yo, you want scoop me to scoop you up, i gotta whip",filtered_slang_data_unique.csv,Slang,Slang
whip,"""friend #1: hey, eric, i like your new whip",filtered_slang_data_unique.csv,Slang,Slang
salty,she was salty because she lost the game,filtered_slang_data_unique.csv,Slang,Slang
salty,boy you salty as shidd u didnt get to play today,filtered_slang_data_unique.csv,Slang,Slang
salty,keene dadian is a salty bitch,filtered_slang_data_unique.csv,Slang,Slang
salty,fgc context  mike ross gets really salty when he loses in friendlies,filtered_slang_data_unique.csv,Slang,Slang
salty,she was very salty after they roasted her,filtered_slang_data_unique.csv,Slang,Slang
bomb,this is some bomb ass pizza,filtered_slang_data_unique.csv,Slang,Slang
bomb,whew that boy bomb,filtered_slang_data_unique.csv,Slang,Slang
bomb,"man, thats the bomb",filtered_slang_data_unique.csv,Slang,Slang
bomb,"ben stiller: bomb bomb bomb, bomb bomb bomb bomb, bomb bomb bomb bomb bomb bomb bomb bomb",filtered_slang_data_unique.csv,Slang,Slang
score,"well she bent down to get a quarter she dropped, and i went in for the score",filtered_slang_data_unique.csv,Slang,Slang
score,we're never gonna score,filtered_slang_data_unique.csv,Slang,Slang
score,"i need my fix man, but i need a score to get it",filtered_slang_data_unique.csv,Slang,Slang
score,"""1) ""that guy owes me a score",filtered_slang_data_unique.csv,Slang,Slang
score,phillip: i got pizza for dinner david: score,filtered_slang_data_unique.csv,Slang,Slang
score,"yo, i'm about to score a free case of beer, want some?  did you score?",filtered_slang_data_unique.csv,Slang,Slang
heat,we gotta pack some serious heat for this drive by,filtered_slang_data_unique.csv,Slang,Slang
heat,fuck smoking a joint infront of the cop shop is heat,filtered_slang_data_unique.csv,Slang,Slang
heat,"we better get out of here, all of us standing around is giving off some real heat",filtered_slang_data_unique.csv,Slang,Slang
heat,"""hey foo, i got some new heat the other day",filtered_slang_data_unique.csv,Slang,Slang
pop,"""washingtonian: is there a pop machine in this venue?  i am truly parched",filtered_slang_data_unique.csv,Literal,Literal
pop,"shuh yo mouf, 'fo ima pop a cap in yo ass",filtered_slang_data_unique.csv,Slang,Slang
pop,"yo shorty a pop son, i heard she gave ma nigga joe head last week  she let joe, jay, rico, and darius beat son, she a pop",filtered_slang_data_unique.csv,Slang,Slang
pop,pop music is horrible,filtered_slang_data_unique.csv,Literal,Literal
bet,"""host of a bet show: ""yo yo yo, man, dis here is the new video from, uh",filtered_slang_data_unique.csv,Slang,Slang
wet,"quit asking what wet means, pervert",filtered_slang_data_unique.csv,Slang,Slang
wet,omg he's so hot i get wet just looking at him,filtered_slang_data_unique.csv,Slang,Slang
wet,some kid: *throws water* you: fuck now i'm wet,filtered_slang_data_unique.csv,Slang,Slang
wet,oh you got me so wet,filtered_slang_data_unique.csv,Slang,Slang
wet,"""that shot is wet",filtered_slang_data_unique.csv,Slang,Slang
wet,i got my girlfriend wet last night,filtered_slang_data_unique.csv,Slang,Slang
wet," yo dave, i didn't know you like to get wet",filtered_slang_data_unique.csv,Slang,Slang
wet,damn my nigga them j's bout hella wet  i stay wet bruh,filtered_slang_data_unique.csv,Slang,Slang
deadass,that prick finally died?  yeah he became deadass finally,filtered_slang_data_unique.csv,Slang,Slang
blow,"man, i really need some blow right now",filtered_slang_data_unique.csv,Slang,Slang
blow,i'm going to waste my paycheck on hookers and blow,filtered_slang_data_unique.csv,Slang,Slang
hard,"yeah, darius is so fucking hard",filtered_slang_data_unique.csv,Slang,Slang
hard,i made victor hard when we had that hot one night stand,filtered_slang_data_unique.csv,Slang,Slang
hard,holy shit ur sisters so hot its makin me hard,filtered_slang_data_unique.csv,Slang,Slang
hard,man this new style is hard,filtered_slang_data_unique.csv,Slang,Slang
hard,cot damn that vida guerra poster be gettin me hard as fuck,filtered_slang_data_unique.csv,Slang,Slang
ripped,good god u were ripped last night,filtered_slang_data_unique.csv,Slang,Slang
ripped,i wanna get a ripped body,filtered_slang_data_unique.csv,Slang,Slang
ripped,lets get ripped tonight,filtered_slang_data_unique.csv,Slang,Slang
ripped,"man, he's ripped",filtered_slang_data_unique.csv,Slang,Slang
ripped,yo im to ripped to reach class,filtered_slang_data_unique.csv,Slang,Slang
ripped,i am so ripped,filtered_slang_data_unique.csv,Slang,Slang
run,"hey, does anybody want more beer? i'm doing a run in five minutes",filtered_slang_data_unique.csv,Literal,Literal
run,"that jacket is tight yo, better run that shit bitch before i pop a cap in yo ass",filtered_slang_data_unique.csv,Slang,Slang
base,no i aint runnin base for estaban,filtered_slang_data_unique.csv,Slang,Slang
base,yo lets lets go smoke some base,filtered_slang_data_unique.csv,Slang,Slang
calm,that is so calm,filtered_slang_data_unique.csv,Literal,Literal
cake,the cake is a lie the cake is a lie the cake is a lie the cake is a lie the cake is a lie the cake is a lie,filtered_slang_data_unique.csv,Slang,Slang
light,that math test was mad light,filtered_slang_data_unique.csv,Slang,Slang
light,evan: how was the history test? mike: it was light,filtered_slang_data_unique.csv,Slang,Slang
light,light his ass up,filtered_slang_data_unique.csv,Slang,Slang
man,you're the man now dog,filtered_slang_data_unique.csv,Slang,Slang
man,"ugh, he/she is such a man",filtered_slang_data_unique.csv,Slang,Slang
man,it' just the man trying to hold me down,filtered_slang_data_unique.csv,Slang,Slang
clap,"""did you hear what steve caught from me? ""yeah, the clap",filtered_slang_data_unique.csv,Slang,Slang
clap,ain't nothin' to do with hands when i clap at y'all,filtered_slang_data_unique.csv,Slang,Slang
clap,i wanna make my ass clap tonight,filtered_slang_data_unique.csv,Slang,Slang
glow,"""have you guys started drinking yet tonight?  ""yeah i've had two or three, i have a glow goin",filtered_slang_data_unique.csv,Slang,Slang
glow,"similar to milf but less crude and doesn't leave out older women that don't have children  excuse me ma'am, but you're a glow",filtered_slang_data_unique.csv,Slang,Slang
glow,"'hey fred did you watch the [roast] of flava flav last night? they gave him the glow, i swear'  'obama released his glow on mccain during the presidential debates",filtered_slang_data_unique.csv,Slang,Slang
head,"holy shit man, i got head last night, and i am reliving it over and over",filtered_slang_data_unique.csv,Slang,Slang
head,martha really doesnt have her head on her shoulders,filtered_slang_data_unique.csv,Literal,Literal
head,she gave great head,filtered_slang_data_unique.csv,Slang,Slang
head,"i need to go to the head to pinch one off, staff sergent",filtered_slang_data_unique.csv,Slang,Slang
head,abdi: what did u do last night? ashley: i gave head to billy,filtered_slang_data_unique.csv,Slang,Slang
burn,"she said you had a small penis?  oh, burn",filtered_slang_data_unique.csv,Slang,Slang
burn,lets burn,filtered_slang_data_unique.csv,Slang,Slang
burn,"ooooh, that's a burn",filtered_slang_data_unique.csv,Slang,Slang
dust,i smoke dust,filtered_slang_data_unique.csv,Slang,Slang
dust,"eww, that girl is so dust",filtered_slang_data_unique.csv,Slang,Slang
dust,"""i must have been smoking dust last night, because i thought we were fine those first couple of days",filtered_slang_data_unique.csv,Slang,Slang
dust,dust is found in copious amounts inside arsenal fc's trophy cabinet,filtered_slang_data_unique.csv,Literal,Literal
dust,c'mon mate lets dust,filtered_slang_data_unique.csv,Slang,Slang
swag,"assface magee: i got so much swag darrel: you got so much dick in your ass assface magee: fuck you, swag",filtered_slang_data_unique.csv,Slang,Slang
swag,you: 'i got swag,filtered_slang_data_unique.csv,Slang,Slang
swag,teacher: what is the square root of 69? dude: swag,filtered_slang_data_unique.csv,Slang,Slang
swag,dude: i got hella swag,filtered_slang_data_unique.csv,Slang,Slang
swag,he got a killa swag,filtered_slang_data_unique.csv,Slang,Slang
swag,"mark, joey and i are swag",filtered_slang_data_unique.csv,Slang,Slang
swag,my swag is off the charts,filtered_slang_data_unique.csv,Slang,Slang
swag,"""that guy's got swag  ""i have 10x more swag than you do""  ""i just fell down, lol",filtered_slang_data_unique.csv,Slang,Slang
swag,gay people that are in the closet are a prime example of what swag represents,filtered_slang_data_unique.csv,Slang,Slang
swag,girl: swag guy: shut up,filtered_slang_data_unique.csv,Slang,Slang
catch,"hey man, that chick is such a catch",filtered_slang_data_unique.csv,Slang,Slang
catch,"i'm gunna go catch some lunch, i'll see you later",filtered_slang_data_unique.csv,Slang,Slang
catch,mom can you please buy cute catch for my sweet 16?  dude i can't believe your mom let you pull up in a catch at a party,filtered_slang_data_unique.csv,Slang,Slang
catch,"person 1: hey i'm gonna go, see u later person 2: catch",filtered_slang_data_unique.csv,Slang,Slang
cheese,cheese is mad good shit,filtered_slang_data_unique.csv,Literal,Literal
cheese,1) this some good ass cheese,filtered_slang_data_unique.csv,Slang,Slang
cheese,"susan: you're the best, i cheese you  mary: awwww <|",filtered_slang_data_unique.csv,Slang,Slang
cheese,hey man can i get some of that cheese,filtered_slang_data_unique.csv,Slang,Slang
jam,"guitarist dude: hey man i heard you got a drumset, we should jam sometime",filtered_slang_data_unique.csv,Slang,Slang
jam,person 1: damm im [vexed] im goin to smack him  person 2: jam man,filtered_slang_data_unique.csv,Slang,Slang
jam,"say mang, turn the radio up, this is my jam",filtered_slang_data_unique.csv,Slang,Slang
jam,"guitarist: hey, you wanna get together and jam this weekend",filtered_slang_data_unique.csv,Slang,Slang
jam,"cam: eh man, you coming to that jam in the park tonight?",filtered_slang_data_unique.csv,Slang,Slang
jam,i want to jam on chuck bass because he is the sexiest man alive,filtered_slang_data_unique.csv,Slang,Slang
plug,"yo, lemmie get the number of your plug man",filtered_slang_data_unique.csv,Slang,Slang
plug,holy shit peebles you fucking plug,filtered_slang_data_unique.csv,Slang,Slang
plug,i need to meet my plug from colombia at the docks,filtered_slang_data_unique.csv,Slang,Slang
plug,shameless plug,filtered_slang_data_unique.csv,Slang,Slang
plug,plug = connection = supply = energy,filtered_slang_data_unique.csv,Slang,Slang
plug,"brian never helps the team, he's such a plug",filtered_slang_data_unique.csv,Slang,Slang
plug,"'i think my plug from outer space, man/because his number is so crazy, man' -gucci mane",filtered_slang_data_unique.csv,Slang,Slang
plug,you gave me 10 bucks?? plug,filtered_slang_data_unique.csv,Slang,Slang
peak,"eg1:  dave: mate, you coming to the party on saturday? john: haha yeah it's gonna be peak",filtered_slang_data_unique.csv,Slang,Slang
peak,skepta: this is so peak,filtered_slang_data_unique.csv,Slang,Slang
lit,he's so lit he can't even talk,filtered_slang_data_unique.csv,Slang,Slang
lit,hey dan lets go get lit and jump off my roof,filtered_slang_data_unique.csv,Slang,Slang
lit,i'm so fuckin lit,filtered_slang_data_unique.csv,Slang,Slang
lit,john : did you go to that party last night  daquan : yes that shit was lit,filtered_slang_data_unique.csv,Slang,Slang
lit,"cody hottenroth, greg nighbor, and kirk emmer are fucking lit",filtered_slang_data_unique.csv,Slang,Slang
lit,"shit son, i got lit at that party",filtered_slang_data_unique.csv,Slang,Slang
lit,"martha, you to damn lit for this party next weekend",filtered_slang_data_unique.csv,Slang,Slang
clutch,"in the last few seconds of a close game, only a player with clutch can lead the team to victory",filtered_slang_data_unique.csv,Slang,Slang
clutch,stealing your orange soda was so clutch,filtered_slang_data_unique.csv,Slang,Slang
clutch,lesbian posters are clutch for attracting babes,filtered_slang_data_unique.csv,Slang,Slang
flex,(2 men in the mall) man1:i got my new aj jacket man man2: yo your tryin to flex that jaket man,filtered_slang_data_unique.csv,Slang,Slang
flex,yoo my nigga watch me flex this blunt,filtered_slang_data_unique.csv,Slang,Slang
flex,"""i get a bess flex in the party last night",filtered_slang_data_unique.csv,Slang,Slang
mad,it's mad hot today,filtered_slang_data_unique.csv,Slang,Slang
mad,"""that kids mad cool  ""i got mad money""""",filtered_slang_data_unique.csv,Slang,Slang
mad,there are many mad videos at the nico nico douga website,filtered_slang_data_unique.csv,Slang,Slang
mad,i had mad amounts of homework in school,filtered_slang_data_unique.csv,Slang,Slang
mad,"""so how'd you like the concert? ""oh it was mad good",filtered_slang_data_unique.csv,Slang,Slang
booked,i got booked for skipping yesterday,filtered_slang_data_unique.csv,Slang,Slang
booked,he booked it down the hall,filtered_slang_data_unique.csv,Slang,Slang
booked,that drunken picture of you just got booked,filtered_slang_data_unique.csv,Slang,Slang
booked,"""ive got so much work to do ""yeah your booked",filtered_slang_data_unique.csv,Slang,Slang
booked,that bitch is booked like a fukin library,filtered_slang_data_unique.csv,Slang,Slang
booked,"jesus, there was a big bar tab at my work party last night and i got booked",filtered_slang_data_unique.csv,Slang,Slang
booked,shit that guy booked me bad,filtered_slang_data_unique.csv,Slang,Slang
smoke,smoke that fool,filtered_slang_data_unique.csv,Slang,Slang
smoke,she can't stand to start her day without lighting up a smoke,filtered_slang_data_unique.csv,Slang,Slang
smoke,you got any smoke to sell?,filtered_slang_data_unique.csv,Slang,Slang
smoke,"""you bring any smoke witcha brudda? ""keen to go for a smoke?"" ""i held that bong in for so long that no smoke came out when i exhaled",filtered_slang_data_unique.csv,Unknown,
crack,i got a crack for photoshop last night,filtered_slang_data_unique.csv,Slang,Slang
crack,ed/roze and kagome/kohaku are my secret crack pairings in the fullmetal alchemist and inuyasha [fandom],filtered_slang_data_unique.csv,Slang,Slang
crack,that new nas song is crack,filtered_slang_data_unique.csv,Slang,Slang
cool,homestar is cool,filtered_slang_data_unique.csv,Slang,Slang
cool,"""that's one cool cat",filtered_slang_data_unique.csv,Slang,Slang
cool,your computer is very cool,filtered_slang_data_unique.csv,Slang,Slang
cool,pantaloons are not cool,filtered_slang_data_unique.csv,Slang,Slang
work,its rainy days if we don't move all our work - lil' flip,filtered_slang_data_unique.csv,Literal,Literal
work,where dat work at family? i need ta blast nigga,filtered_slang_data_unique.csv,Slang,Slang
work,i'm bout 2 go sel dis work real fast i b back,filtered_slang_data_unique.csv,Slang,Slang
trash,that kid poncho is a retarded peice of trash,filtered_slang_data_unique.csv,Literal,Literal
trash,"have you heard ke$ha's new song? it's about being [promiscuous], drinking lots of [alcohol] and just being trash",filtered_slang_data_unique.csv,Slang,Slang
trash,seth meyers: where's a good place to take my family over the weekend? stefon: new york's hottest club is trash,filtered_slang_data_unique.csv,Slang,Slang
trash,billy: i wish i could trash the white house man,filtered_slang_data_unique.csv,Slang,Slang
trash,that man was just total and complete and utter trash,filtered_slang_data_unique.csv,Slang,Slang
kick,im gonna kick it with jenny,filtered_slang_data_unique.csv,Slang,Slang
dip,"when i saw the vanilla ice cd in my date's cd player, i knew i had to dip",filtered_slang_data_unique.csv,Slang,Slang
dip,i think i'm gonna dip outta here,filtered_slang_data_unique.csv,Slang,Slang
dip,my dip know she be stressin me about time when she's know's she's the jump off,filtered_slang_data_unique.csv,Slang,Slang
dip,"i'm gonna have a dip of some mint skoal long cut, rather than a chew of that red-man",filtered_slang_data_unique.csv,Slang,Slang
drop,"""person 1: ""yo dude, check out the drop in this banger"" person 2: ""holy shit dude""""",filtered_slang_data_unique.csv,Slang,Slang
drop,"""when are you going to drop that hit? ""i've already dropped 6 ounces of weed today",filtered_slang_data_unique.csv,Slang,Slang
drop,i was pimping it in the drop dog,filtered_slang_data_unique.csv,Slang,Slang
grind,i've been on the grind lately trying to pay these bills,filtered_slang_data_unique.csv,Slang,Slang
grind,"""i see you on your grind",filtered_slang_data_unique.csv,Slang,Slang
grind,did you guys see narcosis last night at the show? that shit was so fucking grind,filtered_slang_data_unique.csv,Slang,Slang
grind,gamer is to grind as pacman is to dots,filtered_slang_data_unique.csv,Unknown,
grind,"man i gotta go meet some one to sell this weed, ill be back in a bit i gotta go grind for a bit",filtered_slang_data_unique.csv,Slang,Slang
off,she's a bit off,filtered_slang_data_unique.csv,Slang,Slang
off,those off from vote for the worst pee in their depends nightly,filtered_slang_data_unique.csv,Slang,Slang
off,we're going to off some finks on friday night,filtered_slang_data_unique.csv,Slang,Slang
off,[fuck] off [shit] off [cunt] off [wank] off [piss] off [twat] off [crap] off [jizz] off [minge] off etc,filtered_slang_data_unique.csv,Literal,Literal
off,fuck off,filtered_slang_data_unique.csv,Slang,Slang
off,"""bob:  ""wadda ya think jane's up to tonight?"" tom:  ""the usual, hangin' with her off mary",filtered_slang_data_unique.csv,Slang,Slang
off,girl: what is off? guy: off is the general direction in which i wish you could [fuck],filtered_slang_data_unique.csv,Slang,Slang
off,a: ugh there are so many old people here b: i know it's off here,filtered_slang_data_unique.csv,Slang,Slang
bread,"i don't pimp hoes for the [head], i do it for the bread",filtered_slang_data_unique.csv,Slang,Slang
bread,he's bringin in the bread yo,filtered_slang_data_unique.csv,Slang,Slang
bread,"yo, i'm low on bread foo",filtered_slang_data_unique.csv,Slang,Slang
bread,hey i think we can get some bread from my rents to buy beer for the party this weekend,filtered_slang_data_unique.csv,Slang,Slang
bread,john could have seen anna's fat bread suffocating in her panties,filtered_slang_data_unique.csv,Slang,Slang
bread,when it comes to gettin bread i got em keys to da bakery,filtered_slang_data_unique.csv,Slang,Slang
bread,"man, i love bread",filtered_slang_data_unique.csv,Slang,Slang
lowkey,i was lowkey excited about the party,filtered_slang_data_unique.csv,Slang,Slang
fire,this is that fire,filtered_slang_data_unique.csv,Slang,Slang
fire,i smoke blunts everyday so don't ask me shit and if that weed ain't fire then don't pass me shit nigga,filtered_slang_data_unique.csv,Slang,Slang
fire,"""yo look at this rhyme i wrote ""yooooo that shit is fire",filtered_slang_data_unique.csv,Slang,Slang
fire,"u better check yoself when u hit that shit, its tha fire",filtered_slang_data_unique.csv,Slang,Slang
fire,"""you should come over, i just bought some fire dank",filtered_slang_data_unique.csv,Slang,Slang
dash,"man, that lunch was dash",filtered_slang_data_unique.csv,Slang,Slang
dash,"""did you see what i did there? shit was so dash",filtered_slang_data_unique.csv,Slang,Slang
dash,stop gobbing off or i'll get dash to come and flog you,filtered_slang_data_unique.csv,Slang,Slang
rack,she has a nice rack,filtered_slang_data_unique.csv,Slang,Slang
rack,we went to a play party this weekend and remembered to keep [ssc] and rack in mind,filtered_slang_data_unique.csv,Slang,Slang
rack,"""hey man, have you got any rack",filtered_slang_data_unique.csv,Slang,Slang
rack,"""where did you rack those kicks from?  ""i racked some good loot yestarday""  ""i need to rack me a dress for the ball(prom)""""",filtered_slang_data_unique.csv,Slang,Slang
check,"best check yo self, before you reck yourelf",filtered_slang_data_unique.csv,Slang,Slang
check,boy im going to check the shit out your ass: mop top carrot top looking ass nigga,filtered_slang_data_unique.csv,Slang,Slang
check,i just got a check off them tvs,filtered_slang_data_unique.csv,Slang,Slang
sauce,mark: eh paolo you see the sauce i threw on that pass,filtered_slang_data_unique.csv,Slang,Slang
sauce,"dude, some serious sauce over there",filtered_slang_data_unique.csv,Slang,Slang
sauce,"""ex:""hey did you hear that new song"" ""yeah it was that sauce man""""",filtered_slang_data_unique.csv,Slang,Slang
sauce,*you find an interesting pic online and need to who/where where it came from*  newfag: who is this? sauce plz? o,filtered_slang_data_unique.csv,Slang,Slang
sauce,"hey tom, sauce me a pencil",filtered_slang_data_unique.csv,Slang,Slang
thick,damn that girl is thick yo,filtered_slang_data_unique.csv,Slang,Slang
thick,i'm thick and i'm glad my boyfriend likes it that way,filtered_slang_data_unique.csv,Slang,Slang
thick,"that girl has a very pretty face, but her behind is flat so she's far from thick",filtered_slang_data_unique.csv,Slang,Slang
thick,damnnn that girl is thick,filtered_slang_data_unique.csv,Slang,Slang
thick,i like thick thighs,filtered_slang_data_unique.csv,Slang,Slang
fade,"brotha's got mad caps rainin' down, but those fools can't fade me",filtered_slang_data_unique.csv,Slang,Slang
fade,"if someone steals from me, i'll have to show them the fade",filtered_slang_data_unique.csv,Slang,Slang
