SENTENCE,FULL_CONTEXT,MOVIE_ID,SENT_ID,REGION,YEAR,term
"That's right, pull yourselves up.","OK, everybody, sitting up nicely... <i> That's right, pull yourselves up. </i> Now, let's stir the bowl.",3357285,73,UK,2007,pull
More heat in the chili sauce.,Hotter than I was expecting. <i> More heat in the chili sauce. </i> There was a lot of heat in my scallops.,6107374,362,UK,2010,"heat, sauce"
You could always get one of those chess computer game things.,Not since Len. <i> You could always get one of those chess computer game things. </i> You didn't come here to talk about chess.,3666051,480,UK,2009,game
"Briefly painful, but providing immunity for however long it takes.","See it as an inoculation, rather. <i> Briefly painful, but providing immunity for however long it takes. </i> Given the occasional booster, another face, another reminder of the pain, it can last you... half a lifetime.",3120452,1688,UK,2006,long
- You ordered me to come in there.,Watch the TV upstairs. <i> - You ordered me to come in there. </i> - The TV upstairs is haunted!,3564173,132,UK,2008,come
The long features on the surface are the rillenkaren.,Yeah. <i> The long features on the surface are the rillenkaren. </i> Fantastic.,4259257,1890,UK,2010,long
"'Tonight, haunted houses, ghost-hunting'and the search for life after death.","You can move back if you can pay us 50 quid a week. <i> 'Tonight, haunted houses, ghost-hunting'and the search for life after death. </i> 'The most famous ghost-hunters and their most famous cases...'",3564173,97,UK,2008,ghost
People usually don't move around the country for no reason.,Nothing. <i> People usually don't move around the country for no reason. </i> I do not know...,5167828,357,UK,2001,move
In case you wanted to draw a parallel there.,I would never say anything. <i> In case you wanted to draw a parallel there. </i> So this was Coleridge's study.,6107374,1012,UK,2010,draw
You know who snores really bad?,You know who snores really bad? <i> You know who snores really bad? </i> Who?,4640913,1320,UK,2011,bad
'Did a ghost leave these chilling messages asking for prayers...',"Mavis, oh! <i> 'Did a ghost leave these chilling messages asking for prayers...' </i> 'What do you think of their chances?",3564173,105,UK,2008,ghost
It looks like a... very large man dragging a boy...,Right... <i> It looks like a... very large man dragging a boy... </i> Lucas!,5167828,950,UK,2001,man
"Anyway, I'm rapidly going off the idea...","Well, I'm sorry. <i> Anyway, I'm rapidly going off the idea... </i> with you, anyway.",3357285,883,UK,2007,off
"Dane clean that up, please.","And... <i> Dane clean that up, please. </i> Good God...",5167828,537,UK,2001,clean
"Bob Balaban said,"" Never be hot.","I'm saying that it can be hard to have a big success. <i> Bob Balaban said,"" Never be hot. </i> Always be warm.""",6107374,1090,UK,2010,hot
"Go on, get yourself off to school.","Oh, where are you off to with a grump on? <i> Go on, get yourself off to school. </i> Tell Mr Kelly you had to go to the dentist.",3564173,210,UK,2008,off
"I can't sleep, I had a bad dream.","You don't tell me what to do, yeah? <i> I can't sleep, I had a bad dream. </i> Look, just go to next door for me, yeah?",6244263,977,UK,2014,bad
"I've come all this way, and I've come to support you!","They'll be gone in the next day or two. <i> I've come all this way, and I've come to support you! </i> And I believe in you!",5623414,1891,UK,2013,come
# It's not hard to live a lie,# Waiting for something <i> # It's not hard to live a lie </i> # Disregard and deny,3357285,1473,UK,2007,"hard, live"
Can I have ice in my whisky?,"- Bowl. <i> Can I have ice in my whisky? </i> Well, it's what they do in London.",5623414,1720,UK,2013,ice
"Look you lot leaving, now back off.","I'll deal with them. <i> Look you lot leaving, now back off. </i> I'll go alone...",6244263,901,UK,2014,off
"Tills on all the bars have been broken into and emptied of a decent amount of cash, but nothing else was taken, not even a bottle of Grouse from the shelves.","So what's the verdict? <i> Tills on all the bars have been broken into and emptied of a decent amount of cash, but nothing else was taken, not even a bottle of Grouse from the shelves. </i> What about the offices?",5204705,1254,UK,2012,bars
"Come on, come on, come on, closer.","Closer, closer. <i> Come on, come on, come on, closer. </i> What are you doing?",5510712,241,UK,2013,come
"There's so many bad things, bad people, and sometimes I wonder why we try so hard when we're so clearly outnumbered.","We have to lie to them about everything. <i> There's so many bad things, bad people, and sometimes I wonder why we try so hard when we're so clearly outnumbered. </i> Oh, you know, I'm...",4473014,305,US,2011,"bad, hard"
I see you've been getting into a little light reading.,"Right, that's today. <i> I see you've been getting into a little light reading. </i> That's not mine.",3558591,2681,US,2005,light
"- Come on, use some muscle.","Yeah, this is better. <i> - Come on, use some muscle. </i> - There we go.",3558591,2024,US,2005,come
¶ That's how long I want to be your friend ¶,¶ A circle is round and has no end ¶ <i> ¶ That's how long I want to be your friend ¶ </i> ¶ Make new friends but keep the old ¶ ¶,5974299,1149,US,2014,long
I stayed off you out of respect for her.,"Call for your mama. <i> I stayed off you out of respect for her. </i> If not for your mama, I'd have broke your little ass down long ago.",185218,1055,US,2001,off
"You can wear it to work, go straight to happy hour.","You know what that means? <i> You can wear it to work, go straight to happy hour. </i> Them pants got happy hour written all over them.",185218,373,US,2001,work
"There you go, coming downstairs showing off before the neighbors.","Get off me! <i> There you go, coming downstairs showing off before the neighbors. </i> - Fuck them!",185218,712,US,2001,off
"Well, come on, you don't have to go.","Always flying away. <i> Well, come on, you don't have to go. </i> ¶ But keep the old ¶",5974299,1144,US,2014,come
"You, you know, you make a choice and you live your life, and that's it.","That was his name. <i> You, you know, you make a choice and you live your life, and that's it. </i> So deep.",5974299,1265,US,2014,live
"Come on, we're gonna be late.","[ dresser door squeaks open] <i> Come on, we're gonna be late. </i> - I can't find the right shoes.",5036434,18,US,2012,come
"You better, before it starts to affect my work.","I can handle it. <i> You better, before it starts to affect my work. </i> I don't have time for this.",5036434,393,US,2012,work
"How am I supposed to go to school here, if I don't know how long I to stay?","Well, as long as it takes. <i> How am I supposed to go to school here, if I don't know how long I to stay? </i> What does that have to do with it?",5036434,256,US,2012,long
"So Mrs. Chiapetolis, would you like to come join me?","- You scheduled a star-gazing experience. <i> So Mrs. Chiapetolis, would you like to come join me? </i> - Oh.",5791518,2572,US,2014,come
Tyler has a game on Saturday.,You're interested in being a good father? <i> Tyler has a game on Saturday. </i> Be there.,5791518,2889,US,2014,game
We lost a very good man when Detective DeAngelo left.,"Well, Rose, as you know, we're understaffed here. <i> We lost a very good man when Detective DeAngelo left. </i> I'm sorry.",4185464,485,US,2011,man
"Bridge, stand by to pick up the couple with cue ten, half minus, and stand by, Penny, to switch the light walkers, please.","All right. <i> Bridge, stand by to pick up the couple with cue ten, half minus, and stand by, Penny, to switch the light walkers, please. </i> All right, so applause, applause, applause.",6173232,536,US,2014,light
"So if you take the waistband off and remove some length here, would that, like, put a deeper curve?","That's better. <i> So if you take the waistband off and remove some length here, would that, like, put a deeper curve? </i> It would.",6173232,379,US,2014,off
- My boyfriend... has been dead for two months.,- a restraining order... <i> - My boyfriend... has been dead for two months. </i> I didn't know where else to go.,5922900,117,US,2012,dead
"Sweetie, my relationship record indicates a guy who's bad news.","Can you sit? <i> Sweetie, my relationship record indicates a guy who's bad news. </i> You see, I have a history, a pattern, so to speak of coming on very fast and hard in the beginning of a relationship, of saying"" I love you"" very early on.",3618044,539,US,2009,bad
"Sara, listen, you and I both know that the review board, they can be killers if they find someone's work to be frivolous or impulsive, and everyone's gonna want to know why.","I want to hear it. <i> Sara, listen, you and I both know that the review board, they can be killers if they find someone's work to be frivolous or impulsive, and everyone's gonna want to know why. </i> Because I don't think the truth about men can be found in a book.",3618044,1099,US,2009,work
I'm not saying nothing bad has ever happened to you.,Can I talk to you a sec? <i> I'm not saying nothing bad has ever happened to you. </i> You're not bad-looking.,3618044,855,US,2009,bad
"But then you see this girl with this hand knocking herself in the head for being such a fool, crying so hard she can't mostly breathe and all that business like that.","You think it's just words, blah, blah. <i> But then you see this girl with this hand knocking herself in the head for being such a fool, crying so hard she can't mostly breathe and all that business like that. </i> And how men are shits, and don't even trust' em.",3618044,500,US,2009,"hard, head"
"And look, as long as you're out, you might as well have a good time.","All right? <i> And look, as long as you're out, you might as well have a good time. </i> Pretty nice, huh?",3618044,41,US,2009,long
"You have to be quiet now, lily.","I will. <i> You have to be quiet now, lily. </i> Jonas.",5860680,1333,US,2014,quiet
I want you to come with us.,We're leaving the community. <i> I want you to come with us. </i> Hey.,5860680,1247,US,2014,come
I just want to check this with Amanda's assistant.,Would you mind coming back tomorrow? <i> I just want to check this with Amanda's assistant. </i> Sure.,5987878,536,US,2006,check
"Well, I'll go and check the gate.","No, not in there. <i> Well, I'll go and check the gate. </i> Yes.",5987878,1910,US,2006,check
Get the fuck off me.,What are you doing? <i> Get the fuck off me. </i> Get that shit in the bag.,3692182,1422,US,2009,off
We have to remind the public that one man from this unit cannot stain the sum total of our efforts;,"And now, the media shovelling shit on our badges over the shooting that took place there. <i> We have to remind the public that one man from this unit cannot stain the sum total of our efforts; </i> That we are not in the business of harming the public but of helping it.",3692182,210,US,2009,man
You've been an officer long enough to know that Quinlan was the casualty of a bad shooting.,Officer Quinlan shouldn't have been there. <i> You've been an officer long enough to know that Quinlan was the casualty of a bad shooting. </i> A casualty needed to preserve the trust of the public.,3692182,1606,US,2009,"bad, long"
"Oh, are you like a bad dancer?","Trust me. <i> Oh, are you like a bad dancer? </i> Oh, no.",5836657,549,US,2014,bad
"So what we'll have at the base of the dish, we've got a goat cheese mousse and a globe artichoke puree, and that is garnished with deep-fried globe artichoke leaves as well as baby Jerusalem artichoke.","They are dead. <i> So what we'll have at the base of the dish, we've got a goat cheese mousse and a globe artichoke puree, and that is garnished with deep-fried globe artichoke leaves as well as baby Jerusalem artichoke. </i> - Thank you very much.",4259257,738,UK,2010,"base, cheese"
"Well, he made a move at the end of summer term.","You think she's too good for him? <i> Well, he made a move at the end of summer term. </i> Didn't work out too well.",5145968,335,UK,2012,move
"Check your mirrors, your seat, make yourself comfortable.","Fucking morons! <i> Check your mirrors, your seat, make yourself comfortable. </i> - No, I don't think so.",3320486,2545,UK,2008,check
"- Go on, your secret's safe with us.","- We're not telling anyone yet. <i> - Go on, your secret's safe with us. </i> - No, it's bad luck.",3320486,2072,UK,2008,safe
Pay attention or you'll kill somebody.,This car is a lethal weapon. <i> Pay attention or you'll kill somebody. </i> Keep to the left of the centre of the road.,3320486,1217,UK,2008,kill
"In that dust a richer dust concealed.""",""" There's some corner of foreign field, <i> In that dust a richer dust concealed."" </i> It is, it is.",3120452,1144,UK,2006,dust
♪ Come on in and take a seat ♪,"♪"" Ready to Die"" ♪ ♪ Cordelia Fellowes Justin Goulay ♪ <i> ♪ Come on in and take a seat ♪ </i> ♪ And let me get you something to eat ♪",5145968,154,UK,2012,come
"If you play here, they will come.","They'll talk about it for years to come. <i> If you play here, they will come. </i> I guarantee it.",5623414,550,UK,2013,come
Does that make me a man without honour?,"I have nothing. <i> Does that make me a man without honour? </i> We're getting your money back, Mr Zigic, you have our word.",5510712,363,UK,2013,man
And taking the head over to your right.,Arms relaxed. <i> And taking the head over to your right. </i> Feeling that lovely stretch at the neck.,3320486,1034,UK,2008,head
This is the game you play.,"This is what you always wanted, what you set out to achieve. <i> This is the game you play. </i> You prodded me.",3320486,2621,UK,2008,game
"Yeah, you were always the quiet one, weren't you?","They were always the funny ones, weren't they? <i> Yeah, you were always the quiet one, weren't you? </i> Well, I was in my own little world, you know, sort of, you know, escape.",4259257,2491,UK,2010,quiet
"I thought we'd go up to Dunsop Bridge, up through the Trough of Bowland, through Abbeystead, get on the M6 at junction 33, then off at junction 36 a bit further up, and that'll take us almost all the way to Cartmel.","Bye. <i> I thought we'd go up to Dunsop Bridge, up through the Trough of Bowland, through Abbeystead, get on the M6 at junction 33, then off at junction 36 a bit further up, and that'll take us almost all the way to Cartmel. </i> Did you cement Anglo-Polish relations?",4259257,607,UK,2010,off
"- Now that wasn't so hard, was it?","- I'm so sorry. <i> - Now that wasn't so hard, was it? </i> Sorry.",5145968,764,UK,2012,hard
Everybody wants to work with you.,It's incredible. <i> Everybody wants to work with you. </i> I get a call from P.T. Anderson.,6107374,899,UK,2010,work
"Oh, well, it did stick to the bottom of the pan a bit...","One of the most delightful meals, one of the most delightful homecomings I've ever enjoyed. <i> Oh, well, it did stick to the bottom of the pan a bit... </i> - Did it?",4259257,2734,UK,2010,stick
But Nicola hasn't run away.,"Roper fucked you, there's no denying it. <i> But Nicola hasn't run away. </i> - She knows who you are.",5204705,935,UK,2012,run
"Come on, let's get in.","Bye. <i> Come on, let's get in. </i> So have you made a decision about America?",6107374,2566,UK,2010,come
"Oh, trust me, if you're in deep, dark water, of course your life is going to depend on whether you can swim or not.","- Yeah. <i> Oh, trust me, if you're in deep, dark water, of course your life is going to depend on whether you can swim or not. </i> I mean, how are you going to...",5510712,1048,UK,2013,dark
♪ All we seem to do these days Is wave our arms and yell ♪,[ LAUGHING] <i> ♪ All we seem to do these days Is wave our arms and yell ♪ </i> ♪ Other people are hell ♪,4640913,1675,UK,2011,wave
"- But you're looking good, man.","- What? <i> - But you're looking good, man. </i> Sexy!",5623414,457,UK,2013,man
Did you see any kind of bright white light?,Did... <i> Did you see any kind of bright white light? </i> Or a tunnel with Jesus at the end?,3564173,265,UK,2008,light
And thus in joyous mood they hie to Bolton's mouldering Priory.,"The fields are gay with people in their best array of stole and doublet, hood and scarf, along the banks of crystal Wharf. <i> And thus in joyous mood they hie to Bolton's mouldering Priory. </i> Sir Ian McKellan.",4259257,2219,UK,2010,mood
You're welcome to come back to the yacht and have a drink with us.,Can't we get a bottle of wine and drink it here? <i> You're welcome to come back to the yacht and have a drink with us. </i> Yeah.,3552835,97,UK,2008,come
"( Carl) Come on, tease me.","( Giggling) <i> ( Carl) Come on, tease me. </i> ( Carl) Feel my gun.",3666051,790,UK,2009,come
50-50 chance of getting a live round.,Tell you what... three bullets left. <i> 50-50 chance of getting a live round. </i> If he lives...,5145968,923,UK,2012,live
"Now, watch before you cross the road, come on.","Wave goodbye to Mummy. <i> Now, watch before you cross the road, come on. </i> Invincible?",3357285,210,UK,2007,come
♪ I feel your light shining on me ♪,[ CROWD CHEERING] <i> ♪ I feel your light shining on me ♪ </i> ♪ Whenever you're around me I'm feeling so alive ♪,4640913,2019,UK,2011,light
I'm the small man stuck in a box.,"Oh, help me. <i> I'm the small man stuck in a box. </i> Oh.",6107374,2196,UK,2010,man
One of us might be able to work a hand free.,Gaffer's strong but it stretches. <i> One of us might be able to work a hand free. </i> So tell me about the party.,5145968,570,UK,2012,work
- So how long's this going to take?,"Yeah, I've missed you, too. <i> - So how long's this going to take? </i> - Oh, five minutes, tops.",5510712,200,UK,2013,long
"It's hard work being a grown-up, isn't it?","Some of us miss the boat completely. <i> It's hard work being a grown-up, isn't it? </i> Yeah, it is.",3320486,2692,UK,2008,"hard, work"
We shouldn't probably go much further just because of the light.,"This was a volcanic lake of molten volcano, and it was on a land mass called Avalonia that drifted from the South Pole all the way to where we are now over sort of hundreds of million years. <i> We shouldn't probably go much further just because of the light. </i> It's... isn't that beautiful, that?",4259257,1200,UK,2010,light
"Calm down a bit, love.","We're being chucked out the flat! <i> Calm down a bit, love. </i> I'll go upstairs and have a word.",5623414,1859,UK,2013,calm
Just want to check the Dodger highlights.,Good. <i> Just want to check the Dodger highlights. </i> Two on and two outs.,4473014,443,US,2011,check
The family dog live downstairs.,"Listen, man. <i> The family dog live downstairs. </i> I can wake him up for you if you like.",3558591,1701,US,2005,live
"Come on, come on, it's okay.","Come on. <i> Come on, come on, it's okay. </i> Come on.",3558591,2229,US,2005,come
"You do know those lids come off, right?","Finding reasons to complain is just another form of laziness, and honestly I don't have the time or the tolerance for it. <i> You do know those lids come off, right? </i> Thank you, class.",4473014,487,US,2011,"come, off"
You're better off going with something from the heart.,"Like,"" Everyone knows Jennifer likes to shop, ha, ha, ha."" <i> You're better off going with something from the heart. </i> I think that people are gonna like this.",3558591,883,US,2005,off
... like a naked dead body,Not a cop? <i> ... like a naked dead body </i> Keep it real for the people working overtime,4473014,1385,US,2011,dead
I don't like myself right now and I really wish that I hadn't come.,Last night? <i> I don't like myself right now and I really wish that I hadn't come. </i> Oh.,5974299,849,US,2014,come
Hey if it doesn't work at least let me give you this.,"I just couldn't leave you like this. <i> Hey if it doesn't work at least let me give you this. </i> Before the business and the property lines, the infighting ruins it all forever.",6441036,1754,US,2013,work
"Alright, stay off the beach.","See you later, Mr. W. <i> Alright, stay off the beach. </i> [ Adam sings] ♪ Every time we say goodbye ♪",5036434,1096,US,2012,off
Mia locked herself in the den and won't come out.,said she ran off crying. <i> Mia locked herself in the den and won't come out. </i> Baby open up.,6441036,1252,US,2013,come
You're so cliché I'm mad at my brain right now.,And you... house call. <i> You're so cliché I'm mad at my brain right now. </i> So Doc how long will this episode gonna last for?,6441036,559,US,2013,mad
This dress can change a woman from the kind a man cheats on to the kind a man cheats with.,"Now, try this on. <i> This dress can change a woman from the kind a man cheats on to the kind a man cheats with. </i> ( CHUCKLES)",5791518,182,US,2014,man
Is it hard to find people who can't organize their own closets?,Yes. <i> Is it hard to find people who can't organize their own closets? </i> How does that work?,5791518,55,US,2014,hard
"It's hard for me to picture in my head, because sometimes I'll, like,","I think it's okay for that to kind of, like, stand on its own in certain cases. <i> It's hard for me to picture in my head, because sometimes I'll, like, </i> talk about sort of lighting aspects, and in my head, it's much more extreme than I think.",6173232,183,US,2014,"hard, head"
Can we come out onstage?,"Okay. <i> Can we come out onstage? </i> Girl, you got nothing to worry about.",6173232,629,US,2014,come
"She said she knew instantly in the depths of her soul that this man's intentions were to brutally rape, torture, and kill her and that by the time the psychotic had exited into a secluded area and actually said what his true intentions were,","It was something about his eyes. <i> She said she knew instantly in the depths of her soul that this man's intentions were to brutally rape, torture, and kill her and that by the time the psychotic had exited into a secluded area and actually said what his true intentions were, </i> she wasn't the least bit surprised, because she knew that she was going to be just another grisly discovery for some amateur botanist or scout troop a few days later, unless she could focus her way into a soul connection",3618044,1017,US,2009,"kill, man"
An apple wouldn't even work.,- Jonas. <i> An apple wouldn't even work. </i> I've been doing it for a month and it's worked every single time.,5860680,952,US,2014,work
"Like, I can't constantly be away from work or the girls can't deal with you leaving so often.","And then let's say in six months we hit a wall. <i> Like, I can't constantly be away from work or the girls can't deal with you leaving so often. </i> And we start to feel the tension.",5987878,1792,US,2006,work
"- Yeah, I trust' em, man.","- That ain't sound real confident. <i> - Yeah, I trust' em, man. </i> I wouldn't even come to you with this unless I did.",3692182,1703,US,2009,man
"Hey, don't you touch that gun.","My girl needs a new car. <i> Hey, don't you touch that gun. </i> Again, the point that you've got to be a fatality to provide for your kids...",3692182,1155,US,2009,touch
All that work me and you put in?,"I just got a promotion today, B. <i> All that work me and you put in? </i> Huh?",3692182,2232,US,2009,work
"No, no, no, man-up, finish.","Yeah, you're right, this is weird. <i> No, no, no, man-up, finish. </i> Just get ready for an onslaught.",5836657,805,US,2014,man
Rip from below the concrete so they can't turn it off without shutting down the grid.,"Dodd, you rip out the wires at 11: 14. <i> Rip from below the concrete so they can't turn it off without shutting down the grid. </i> Yeah, I know, Harvey, I know.",5204705,1382,UK,2012,off
That's why I woke up.,"I'm scared of dying. <i> That's why I woke up. </i> - Oh, when did you wake up?",3320486,1879,UK,2008,woke
"This being the case, the sensible criminal maintains a fearsome reputation with good old-fashioned hard graft.","While there are guns, their use brings unwanted police attention. <i> This being the case, the sensible criminal maintains a fearsome reputation with good old-fashioned hard graft. </i> Step 2.",5204705,377,UK,2012,hard
# I was running to catch the door,"# But our love broke through <i> # I was running to catch the door </i> # For so long, just because",3357285,1468,UK,2007,catch
"Mischa can't come, and I don't want to go alone.","Anyway, it doesn't matter. <i> Mischa can't come, and I don't want to go alone. </i> I've asked other people, but they're all too busy, so, you know, do you want to come?",4259257,26,UK,2010,come
- Don't tell me to calm down!,"- Calm down, Chris. <i> - Don't tell me to calm down! </i> - Chris!",5145968,544,UK,2012,calm
Would you come to my funeral?,"If they buried you or cremated you, they would both suit me fine. <i> Would you come to my funeral? </i> Would you turn up, do you think?",4259257,2251,UK,2010,come
"Remember, in the fire in The Griffin?","We burnt the one he gave us, didn't we, Bri? <i> Remember, in the fire in The Griffin? </i> - Alright, you two...",5623414,932,UK,2013,fire
"Look, how long have you actually known Lisa?","You're all fucking mental. <i> Look, how long have you actually known Lisa? </i> Do you want to be the one who has to tell her parents exactly what she was doing when she died?",3552835,650,UK,2008,long
"But now to bed, unless you are one of those people, like me, who finds it very hard to get off after he's eaten cheese, in which case, stay awhile by the fire, talk of battles past and old,","We leave at 10: 00-ish. <i> But now to bed, unless you are one of those people, like me, who finds it very hard to get off after he's eaten cheese, in which case, stay awhile by the fire, talk of battles past and old, </i> and then and only then, sire, go thee to bed.",6107374,1386,UK,2010,"fire, hard, off, cheese"
The long features on the surface are the rillenkaren.,Yeah. <i> The long features on the surface are the rillenkaren. </i> Fantastic.,4259257,1890,UK,2010,long
"I mean most people move out of Bensonville, not in it.","You guys are like celebrities. <i> I mean most people move out of Bensonville, not in it. </i> Really?",5167828,340,UK,2001,move
I'm saying that it can be hard to have a big success.,"I don't do impressions. <i> I'm saying that it can be hard to have a big success. </i> Bob Balaban said,"" Never be hot.",4259257,1088,UK,2010,hard
""" Samuel Peet- not dead, only sleeping.""","- It is. <i> "" Samuel Peet- not dead, only sleeping."" </i> He's gonna be pissed off when he wakes up.",3564173,382,UK,2008,dead
"I've asked other people, but they're all too busy, so, you know, do you want to come?","Mischa can't come, and I don't want to go alone. <i> I've asked other people, but they're all too busy, so, you know, do you want to come? </i> Uh... well, don't know, really.",6107374,27,UK,2010,come
""" Those long, uneven lines Standing as patiently","- What about this one, sir? <i> "" Those long, uneven lines Standing as patiently </i> As if they were stretched outside The Oval or Villa Park,",3120452,579,UK,2006,long
You'd be better off going anti-clockwise.,It's terrible. <i> You'd be better off going anti-clockwise. </i> Right.,6107374,2515,UK,2010,off
"- It's that man at the station, isn't it?","If you need to talk, tell me. <i> - It's that man at the station, isn't it? </i> - What?",3357285,1111,UK,2007,man
Are you not going to live at home?,It's just... <i> Are you not going to live at home? </i> I don't know.,3564173,1222,UK,2008,live
"And like lollipops, it's something that we enjoyed a long time ago.","It's, like... it's familiar... like, we all know what a lolly is... but there's something very different about it. <i> And like lollipops, it's something that we enjoyed a long time ago. </i> Mm.",6107374,681,UK,2010,long
Why can't it still be dark outside?,Hi. <i> Why can't it still be dark outside? </i> No.,5510712,1062,UK,2013,dark
"And, can I just say on a personal note, Martin, that type of wild speculation undermines the work of the police force and ultimately does a disservice to members of the public who support it.","Both the findings of the committee and the police investigation have found no evidence to support such a theory. <i> And, can I just say on a personal note, Martin, that type of wild speculation undermines the work of the police force and ultimately does a disservice to members of the public who support it. </i> Now, as I made clear many months ago we operate and apply a zero-tolerance policy with reference to criminal activity involving firearms and the distribution of drugs.",3666051,1048,UK,2009,work
"I suppose his firm looks after the club, so he thinks it's safe there as in his own office.","And it puts some distance between him and his money in case he ever gets his collar felt. <i> I suppose his firm looks after the club, so he thinks it's safe there as in his own office. </i> Even more so.",5204705,463,UK,2012,safe
- He'd love you to come.,"No, I'm not. <i> - He'd love you to come. </i> - Yes.",3558591,1068,US,2005,come
"While each man thinks he knows love love, we have learned, is a mystery.","Yea, they all have one breath so that a man hath no preeminence above the beast. <i> While each man thinks he knows love love, we have learned, is a mystery. </i> That's what makes today so special.",3558591,2874,US,2005,man
"It's not as bad as what's ahead of you because at one time you thought there was love there, right in your life?","Yeah, well, you know what? <i> It's not as bad as what's ahead of you because at one time you thought there was love there, right in your life? </i> Well, you were wrong.",5974299,393,US,2014,bad
"That's not work, is it?","I'm okay. <i> That's not work, is it? </i> Oh, it's, um--",5974299,358,US,2014,work
You gonna beat my mama?,What do you think about that? <i> You gonna beat my mama? </i> No.,185218,1040,US,2001,beat
When you're gone will mommy come back?,What do you want to ask? <i> When you're gone will mommy come back? </i> I sure hope so.,6441036,1653,US,2013,come
That is the perfect opportunity to work on our relationship.,Oh! <i> That is the perfect opportunity to work on our relationship. </i> Absolutely baby.,6441036,878,US,2013,work
Why can't I kill you?,You can't kill me. <i> Why can't I kill you? </i> The hotel has your name.,4185464,1290,US,2011,kill
"But crime is bad for tourism, and tourism is Paradise's main business.","What I meant was, lots of kids OD. <i> But crime is bad for tourism, and tourism is Paradise's main business. </i> I know that, sir.",4185464,351,US,2011,bad
"Yeah, don't just drop her, okay?","- Not just lift her up. <i> Yeah, don't just drop her, okay? </i> Pick her up, and put her down in a new spot.",6173232,412,US,2014,drop
Or maybe I can move back.,I have to be a little further. <i> Or maybe I can move back. </i> Or something.,6173232,136,US,2014,move
"As you can see, a select few interested parties were allowed to come and observe your arrival.","Gentlemen, welcome! <i> As you can see, a select few interested parties were allowed to come and observe your arrival. </i> So we thought removing the garments would lessen your discomfort.",5922900,1237,US,2012,come
"if we can get you in touch with Marconi so you two can work out your little differences, will you release us?","Okay, I'll tell you what... <i> if we can get you in touch with Marconi so you two can work out your little differences, will you release us? </i> - You lie!",5922900,188,US,2012,"touch, work"
"- You meet the reanimated body of the guy you beheaded last year, only he's got a new head stitched on with what looks like plastic weed-trimmer line and wears that unique expression of you're-the-man-who-killed-me- last-winter resentment","As soon as you get home with your newly-headed ax though... <i> - You meet the reanimated body of the guy you beheaded last year, only he's got a new head stitched on with what looks like plastic weed-trimmer line and wears that unique expression of you're-the-man-who-killed-me- last-winter resentment </i> that one so rarely encounters in everyday life.",5922900,19,US,2012,"head, man"
"the sandals, flamboyantly long hair, financial support from parents she reviled, and some professed membership in a apostrophe-heavy Eastern religion that I would defy anyone to pronounce correctly.","And she was straight out of central casting: <i> the sandals, flamboyantly long hair, financial support from parents she reviled, and some professed membership in a apostrophe-heavy Eastern religion that I would defy anyone to pronounce correctly. </i> Look, I'll just bite the political bullet and confess that I classified her as a strictly one-night objective, and that my interest in her was due almost entirely to the fact that, yes, she was pretty.",3618044,995,US,2009,long
And then I watched her gently close the door and walk off barefoot down the hall and never seeing her again.,"I just, I grabbed onto her skirt and I begged her not to leave. <i> And then I watched her gently close the door and walk off barefoot down the hall and never seeing her again. </i> That it didn't matter that she was fluffy or not terribly bright... nothing else mattered.",3618044,1064,US,2009,off
"Well, music when I hit the right keys.","Music. <i> Well, music when I hit the right keys. </i> Just like music, there's something else you can't see with your eyes.",5860680,673,US,2014,hit
You're supposed to plug them in over here.,I should know how to do this. <i> You're supposed to plug them in over here. </i> Right.,5987878,721,US,2006,plug
I haven't been on a first date in a long time.,"- Yes. <i> I haven't been on a first date in a long time. </i> Well, since we've already had sex and slept together twice maybe we can bend the first-date rules.",5987878,993,US,2006,long
"And you acted like somehow it was my fault my misunderstanding, and I was too in love with you to ever be mad at you, so I just punished myself!","You broke my heart. <i> And you acted like somehow it was my fault my misunderstanding, and I was too in love with you to ever be mad at you, so I just punished myself! </i> For years!",5987878,1975,US,2006,mad
"Okay, I am trying very hard to think of a question that could in no way be construed as upsetting.","Well, now you do. <i> Okay, I am trying very hard to think of a question that could in no way be construed as upsetting. </i> Do you like dogs?",5836657,386,US,2014,hard
"I like that, that's cool.","I'm thinking Ben. <i> I like that, that's cool. </i> ( Whispering) Ben.",5836657,71,US,2014,cool
"See, people always look at you funny when you say something that'cause they feel bad for you, or they--","I just wanted to be a wife and a mom. <i> See, people always look at you funny when you say something that'cause they feel bad for you, or they-- </i> Megan, I'm not-- I'm sorry, I wasn't trying to look at you funny.",5836657,1019,US,2014,bad
We're looking at the New Jersey transit making local stops all day long.,( Rick on TV) Let's take a look at some of the outside stuff. <i> We're looking at the New Jersey transit making local stops all day long. </i> Here in menlo park...,5836657,1111,US,2014,long
Do they move to the Costa del Sol?,"What? <i> Do they move to the Costa del Sol? </i> Emigrate, migrate, whatever.",3320486,219,UK,2008,move
"You see, when you die then you come back to life.","( Engine splutters) <i> You see, when you die then you come back to life. </i> You know, actually, you're born again.",3564173,837,UK,2008,come
"Mitch, calm down, he's just being fair to humor.","Sorry. <i> Mitch, calm down, he's just being fair to humor. </i> Jump up and down.",6244263,262,UK,2014,calm
"Just to hear your voice, your lies, it makes me sick.","Don't say anything. <i> Just to hear your voice, your lies, it makes me sick. </i> - Show me how much you love me.",5510712,1160,UK,2013,sick
