sentence,is_slang,slang_words,dataset
"בזמן שהדם עולה לי למוח בזינוק מהיר חוצפתו לתוך המשפט ואומר ""אימא שלך מלאך"" אותך יה חתיכת מלא.."" אני לא מספיק לסיים והוא מתפרץ לי ברוב אני נזכר שאם מושיקו לא מתעסקים ואומר שוב ""אמרתי לך שמי שואל כבר סגול. לחצי אדום ""איך קראת לי"" הוא שואל בזמן שהצבע שלו מתחיל להיות אני לא מספיק להמשיך ואני קולט איך החצי שקוף אם הכנפיים הופך מי הוא הסתבך, אני מתחיל להתקרב אליו ושואל ""יה חתיכת מלאך.."" העמוקה של הנפנוף שלא מוצאת חן בעיני ומבין שהברנש לא תופס אם לכיוון האור הרחוק ""ילה, אתה מעכב אותי"" אני תופס את המשמעות שניה ואז ברוב חוצפתו מסמן לי אם כף היד שלו בצורה של נפנוף הבחור השקוף שעומד מולי לא בדיוק מתייחס לסימן המוכר, ממתין לו ""למה מה?!."" מרים לאט את היד הימנית שלי ובזמן סיבוב של כך היד אני אומר המשמעות של המבט שלי ומחליט לפעול בעזרת הסבר יותר משכנע, אני תתחיל להתקדם לכיוון האור"" אני קולט שהוא לא תפס את מלוא לכיוון איזה חור בסוף העולם שמאלה ""נו גבריאל והשטן מחכים לך, מהשכונה, אבל הוא ממשיך להביט בי מבלי להתייחס למבט ומצביע לטרטוריה לא בריאה, מהסוג שהייתי מפחיד בעזרתו את החברה שולח לכיוונו את המבט",1,"חור,מפחיד",Norod78/HebrewStageAndLyricsWithNewLines
"אין לאן ללכת כבר אמרו את זה מזמן  זה הכדור שהסתובב עד שנגמר לו הלאן  האנושות כולה חופרת מחפשת איזה אור גנוז  אבל האמת המצערת היא שאין לאן ללכת בלוז  אין על מי לסמוך, לא אדונים וממשלות  לא הצבא שכבר לקח את השנים הכי יפות  אתה נזרק אל החיים ומשהו בפנים תמיד שבוז  עד שהחרב מתהפכת וכבר אין לאן ללכת בלוז  גל גל ! עלה על הגל  שוט אל השקיעה כי מי צריך אותך בכלל  דל דל ! צחוק הגורל  זו המדינה שלך ואין אחת אחרת  אין איפה לשבת כל המקומות תפוסים  האוכל לא מורעל אבל כולם מפרכסים  אתה אומר לעצמך ""חצי סיגריה ונתחיל לזוז...""  להתנדנד על המדרכת עד שאין לאן ללכת בלוז  זמן של סחר מכר, חרוזים משיר לשיר  ומגפה של אהבה דלה פוקדת את העיר  ממזריה נולדים בה ערב ערב בלידת עכוז  עם שום דבר בפיהם, פרט ל... איך לא... אין לאן ללכת בלוז  גל... גל! עלה על הגל .....  שוט אל השקיעה כי מי צריך אותך בכלל  דל דל ! צחוק הגורל  זו המדינה שלך ואין אחת אחרת  אבל אין מה לעשן חביבי קום מהספה  הפריפריה מתייבשת, מישהו דופק קופה  על חשבונך הכל עולה במאה מאה חמישים אחוז  עכשיו המשטרה בולשת אבל אין לאן ללכת בלוז  באנו, גרנו, צרנו,",1,מורעל,Norod78/HebrewStageAndLyricsWithNewLines
"עכשיו אני מה זה מקנא בך. האמת, פעם חשבתי שאתה דפוק עם הקטע הזה, הצחוקים שלך, והדיבורים שלך על כמה מסריח פה. האמת, אתה מה זה חסר. אתה לא מאמין ואנחנו דופקים עליה רייסים חבל""ז. וקניתי אותה. זייפתי לה את הטסט לשנה חסכתי מהדמי אבטלה ומהעבודה אצל דוד שלי כן. את האלפא ג'וליה שתמיד רציתי. קניתי אוטו. אתה לא מאמין יהיה קטעים. יש לי שם קומבינה. אני מספר להם שאתה בא בקרוב, אני פוגש את כולם בלישכה. למד 4 שנים מחשבים ועכשיו... פגשתי אותו בלישכת אבטלה. זוכר את אריק? החובש מהסיירת? אתה לא מאמין. אמא שלי ישנה בחדר האטום, שהוא סופסוף מצא מלחמה. ההורים שלי דווקא מבסוטים אני צוחק עליו בלי הפסקה, איזה פארש. הלך לצבא לעשות ריענון למסיכות אב""כ. אח שלי בסדר, עושה מילואים. אתה לא מאמין. יוספי גמור. הוא איבד את החיוך. 34 פצועים, אבל רק האחות של יוספי מתה. וה'אחמד' התפוצץ בלי שאף אחד ישים לב. קרן. בת 61, הלכה להוציא כסף מהכספומט. אחותו הלכה בפיגוע שהיה בנתניה. שאלת על יוספי. לא נעים. אתה לא מאמין. היא בסרטים של סמים. אז תשאיר אותה פה. נסעת גם כדי להשאיר אותה פה, שכח מזה. מגיע לך יותר. אתה מתגעגע לאקסית? מה",1,דפוק,Norod78/HebrewStageAndLyricsWithNewLines
"בעניים. השמים. אתה ממשיך לצעוד על הברכיים וכולם על הזין ולה דמעות בחיים קשיים נופלים מין הרגלים אנחנו בועטים לא מסתכלים אל אותה אתה צריך לזרוק אל הכרישים אין רחמים. כי לפעמים יש לפעום בקצב אחיד לפי הביט  אחי אני מבין אותך  הורידה לקרשים תפסיק לבכות תתחיל לזרום שניה של מחשבה היא לא שווה הלב ימשיך פזמון: החיים הם לא אגדה... החלום נישאר אין מחר מה ייפול  בגורל. מזיע כל טיפה של חיבה נעצר ועומד באותו המקום בו הזמן ניגמר נימצא באפלה בוער במדורת האהבה נופל שום דבר לא קורה אף אחד לא עוצר לא רואה את הבור שאליו אני ניגמר קשה במציאות עם מכשפה רעה, בלי פיה טובה. החיים הם לא  אגדה אני לא נסיך את לא נסיכה  הסיפור  הזה פזמון: עצמך לא יודעת מה עשית לי ללב חושבת על אחר. במיטה  שוכב וחושב דומה לבד  אתמול היה שונה עכשיו את עם תשכח את  העבר יש עתיד שצופה  ועדיין מחכה. די לנסות להציל את מה שמת הוא עלה לאלוהים לא חוזר יותר זיכרונות מלווים את העבר  ההווה נישאר אותו הדבר אף אחד לא מחכה לי בצד השני של הנהר הוא רק זורם ולא ניגמר מחכה לצלצול שום דבר לא קורה אף אחד לא עונה לטלפון",1,זורם,Norod78/HebrewStageAndLyricsWithNewLines
"הנה צביקה נפל שוב הגיע לפיק  התמדה זה הכל, שום סיבה להפסיק  מנסה להתעלם, אבל נהיה לי מעיק  כי שוב את התוכן מנצח השטיק  בפרסומות עולה הווליום בלי שביקשתי  מכסה את האוזניים, כי מזה כבר מאסתי  התוכניות עצמן (גם די אסון) מלאות בדאויין בלי טיפת פסון  אני רוצה לישון מחמת המיאוס  לוחץ Mute, ממשיך בשיוט, איזה חוסר צניעות  לא על זה הם חלמו בגלות  שמישהו ייקח אחריות על התרבות  של המדינה  נה נה נה...  איזה כיף יש זכות בחירה אישית  נתנו לנו לבחור בין בקבוק לפחית  הנה בקהאם נפל ופיספס ת'מסגרת  וכולם אומרים איזה בעיטה מפוגרת  בהילוך החוזר כולם רואים בבירור  כמה זה פשוט להכניס ת'כדור  כן זה קצת מאכזב לגלות מקרוב  עד כמה אור הזרקור הוא בצבע צהוב  אני לא מבין למה המוח שלי נסתם  אולי כי העיתון מקושט בדם  אולי סתם כי הכל יותר מדי צהוב  זה עושה לי לא טוב גם אם זה קצת נעים  לפשפש לאחרים עמוק בתחתונים  ואם מישהו פה מצליח להתחבב על העם  בסוף המטרה להוריד אותו גם  כי הדם חם ואין אורך רוח  ואם ככה זה העץ, אז גם ככה התפוח  אני רוצה לנוח מחמת המיאוס, רוצה לרדת  כי המדינה שלי מתדנדנת בספינה  נה נה נה...  איזה כיף",1,צהוב,Norod78/HebrewStageAndLyricsWithNewLines
"להשיג ""מטרות"" שהיא זה היה כל חייה, והיא התחילה להרגיש שזה נמאס עליה יותר הרגשה טובה. אחרי שבוע היא פגשה את אייל, וזרקה את אורן. ככה כיף טהור. היא הרגישה שאורן נמשך אליה בטרוף, וזה נתן לה בינתיים זה סיפק כל מה שהיא צריכה. אין לה שום מחויבות, רק הם נפרדו בנשיקה סתמית. לשחר לא היה ספק שימאס לה בקרוב. אבל ""לא, אני כבר אביא לך."" ""אוקיי. אכפת לך להביא לי כוס מים בדרך החוצה?"" מתנה. הם חוגגים שנה בקרוב."" ""אני חייבת ללכת, הבטחתי לירון שאני אלך איתו לקנות לאיילת התלבשה. ""טוב."" הוא אמר בכניעה, והמשיך לנשק אותה. אחרי שהוא גמר שחר ""אורן, די. אני לא רוצה, וזהו. תתמודד עם זה."" הבגדים ו..."" ""תזרמי עם זה. אני כל כך חם עלייך. אני מת לקרוע ממך את ""זה לא העניין, זה פשוט לא מתאים לי כרגע."" ""למה לא? את לא רוצה אותי?"" ""אני לא יכולה לעשות את זה."" עצרה את אורן ברגע האחרון. נכנסה. בסוף אותו ערב הם נכנסו לחדר של ההורים של עידו. שחר ואורן, )שהיה החבר הכי טוב של עידו( לא עזב אותה מהרגע שהיא הם נפגשו ביום שישי במסיבה של עידו. שחר הגיעה עם חברה, נעימה לה והיא נסחפה אחריו. נותנת לה לעלות למעלה. אורן היה יותר חזק. היד",1,מת,Norod78/HebrewStageAndLyricsWithNewLines
"ג'יברוש רוסית זה כייף בלתי חולב כמאמר טוביה החולף. ככה אחרי שיחה עם רופאת ילדים חיננית מחבר העמים שנקרא לה לורה בעסקינן המנודן. הקדשתי לה שיר זה על עבודתה המבורכת בשיפור איכות הבריאות אצל הפעוטות. יודעי דבר אולי מכירים שיר זה במילות הרחוב שלו בארץ הכוללות בין השאר את המשפט המפואר חור במקלחת יופי של תחת (לכל ביקורת). אזי, נג'נאנתי בכלי ניג'יננה כמו מנדולינה, גיטרה, פסנתר וחירבתי הכל בקולי הצפרדעי.  מה יעשה? זה מאמא מיאה המיאו שיש.",1,חור,Norod78/HebrewStageAndLyricsWithNewLines
היא הייתה הנבחרת שלי  עם צחוק שמתגלגל על הקווים  פירות חייה צעירים  עיניה ביקשו את הקטיף  נוגעת  לא נוגעת  לעולם היא לא פוגעת  לא הייתה שפיות או דעת  לא צריך לחפש  היה לנו קטע של אש  בינו לבינה  היינו יוצאים משתכרים  חסרי תקנה  היינו מתפרקים במכונית  מאחורי האצטדיון הלאומי  מרעידים את היציע  מאחורי האצטדיון הלאומי  עשיתי אותך כמו שעושים את הנבחרת  בלי תוספת זמן ובלי חילופים  כן עשיתי אותך כמו שעושים את הנבחרת  בלי הגנה ובלי כרטיסים  היה לה מגע חייתי  וריגוש של אופנוע מהיר  לא היו מעצורים  לא ניסינו ללחוץ על בלמים  עוד נקודות אוספת  זיעה עלי נוטפת  זו הייתה תקופה חולפת  כמו חיוך בין שני זרים  היה לנו קטע של אש  בינו לבינה  היינו יוצאים משתכרים  חסרי תקנה  היינו מתפרקים במכונית  מאחורי האצטדיון הלאומי  מניפים את הגביע  מאחורי האצטדיון הלאומי  עשיתי אותך כמו שעושים את הנבחרת  בלי תוספת זמן ובלי כרטיסים  עשיתי אותך כמו שעושים את הנבחרת  בלי הגנה ובלי בילויים  אהההה  לא נראה לי שאי פעם נעלה  אז עד הפעם הבאה  אקשן.....  עשיתי אותך כמו שעושים את הנבחרת  בלי תוספת זמן ובלי חילופים  עשיתי אותך,1,אש,Norod78/HebrewStageAndLyricsWithNewLines
"מותק כשאת נוגעת בי, אני זה לא אני רוצה לחוש את שפתייך,  מותק כשאת פוגעת בי, אני זה לא אני, תופס ת'קריזה עלייך  מותק, כשאת נוגעת בי אני כמו שיכור, רץ תמיד אלייך מחבק שוב מכבה ת'אור  את יודעת אותי לשגע ואני כמו תינוק שרק אלייך מתגעגע, לפעמים זה טוב לפעמים זה פוגע.  אבל אותי אוהבת, כן, אני יודע, אותך שומע בעורך נוגע, אלוהים יודע  זה אותי הורס שובר מועך, הורג ושוב קורע, אני נגנב, אני נטרף אני נסחף.  איך אישה אחת כמוך אותי הופכת כמו דף והזמן שלי עף,  אינך רוצה להבין ואת תקועה בלב שלי עמוק כמו סכין  מלאך אני שלך תהיי בטוחה תחייכי אלי מעט ותשני כבר תנוחה  אותך לא עוזב עלייך חושב כן, את שומעת אותך שוב אוהב  כי את היחידה שתופסת לי ת'לב  מותק כשאת נוגעת...  ממי כשאת פוגעת בי בלילה מתהפך, לא יכול לישון לא לאכול וגם לא לחייך,  אני ואת דמעות חונקים את החדר ואת לי מבטיחה ששוב תמיד יהיה בסדר  כל הזמן רוצה לנתק את הקשר זה אותי לא מפחיד כי לא מאיימים על גבר  אני לא אפסיד את מי זה מפחיד. אני הווה עבר ועתיד.  בגללך לא מת וגם לא קורע ווריד,  ממתק שלי, במבה מקופלת אני לא עוד סוכריה שבלשון את מגלגלת,",1,"מפחיד,מת",Norod78/HebrewStageAndLyricsWithNewLines
"טיפה יותר טרי מהאבטיח הכי טוב שאכלת העונה. לי על הגולגולת אני עושה רעש של חלול, ורוב הסיכויים שאני המיטה שלי. זה לא בקטע רע, אני עדיין אדום ועסיסי, ואם מקישים מישהו אחר - יום יום, מישהו אחר עולה מערימות הסדינים שנקראים ומשהו אחר קם מההריסות, ה""אני"" שהולך לישון לא קם בבוקר, זה ממורמר מעובדות יבשות, אני טוען שכל יום איזה משהו בי מת, היא ממהרת לתקן אותי שהמוח שלנו לא נכבה אף פעם. אך אני לדעתי, כשאני הולך לישון זה כאילו אני מתכבה לקצת זמן, ושוב שהיינו לפני כמה דקות, אוי איזה טיעון פסיכולוגי מעצבן, טוענת שאני מדבר שטויות. היא טוענת שאנחנו כל הזמן שונים ממי לא אהיה אותו בן אדם. יש לי ידידה שלומדת פסיכולוגיה, היא תמיד יש לי את הפחד הזה, כשאני הולך לישון, שכשאקום אני כבר מהאבטיחים ממש לידו, סתם שיתלכלך. לאכילה"". איך בא לי להביא פעם פטיש, ולחכות עד שאראה סתם איזה שהוא דופק עליו, האבטיח מתעורר ואומר לו ""סחבק אני פאנן שלמישהו זה עוזר, זה אחד שיודע איך לדבר עם אבטיחים, ואז אחרי האבטיח טוב. איזה שקר, הדרך היחידה שבה אני יכול לחשוב נשמע לך כזה שקר. שמעתי על אפליקצייה לאייפון שאומרת האם לא ברור לי",1,מת,Norod78/HebrewStageAndLyricsWithNewLines
"הוא על הראש. מושיק הגיע עם חרמונית, גלילון, אפוד וכובע משולש של מסיבות כלום. ראשון. וגם אחרון, כי ברודי רק חייך, ואת יעקוב לא עניין יותר כמה דקות, עד שמושיק הופיע מעבר לבניין של החמ""ל. טל צחק פיהק, יעקוב פיהק פיהוק יותר גדול. התחרות הסמויה הזו נמשכה אותו במשמרת של שמונה שעות רצוף והוא היה סחוט. בכל פעם שטל לזה שהוא היה כבר מת ללכת לישון. קובי, המש""ק שמירות זיין אמור להחליף כבר לפני אחת עשרה דקות, שום דבר לא עניין מעבר סוגיות פילוסופיות, ואת יעקוב, המילואימניק הדתי שמושיק היה האומלל הזה, ואולי לא. לא נדע לעולם. אבל את ברודי לא עניינו למחלוקות פוליטיות, ואם לא היו, אולי ברודי היה נמנע מהגורל מהפה והתפוגגו באוויר הקר של שטחי יהודה ושומרון הנתונים שלו ביד ימין, וביד שמאל כיסה את פיו.הוא פיהק. אדים יצאו לו להחליף אבל הוא עדיין לא הגיע. טל, הקצין תורן, החזיק את הנשק מילואימניק רוסי שפיהק והלך לישון. את השני מושיק היה אמור לזה שברודי בכלל יתעורר ויעלה לפריקה. הוא החליף איזה לפריקה. עוד דקה, אתמול, התחילה כל שרשרת האירועים שהובילה בדיוק לפני עשרים דקות קיוויתי העיר את ברודי שיעלה לש.ג קטע ו' -",1,מת,Norod78/HebrewStageAndLyricsWithNewLines
"אאההה..... מה העניינים?  זורם כמו מים......  תגיד, אתה עוד לא הפסקת?  אני אף פעם לא מפסיק!...  צעד היפ האפ אמיתי לתת לכם באוזניים  עם קפיצה לא רג'ינל שנתקע בשיניים  real hard cool כשאומרים בעברית  זה לא שטויות במיץ  זה היפ האפ אמיתי  ישראלים עצבניים אחד אחד  מוכנים למלחמה עם המיקרופון ביד  וזאת קבוצת האנטי ממנה עוד יצאו  הרבה סולנים גדולים אתם עוד תשמעו  תוצרת ישראל ואן מאה פרוסנט  עם שקים של שקלים ואפילו לא סנט  מריצים פה דיסקוטקים ועוד עסקים  כמו למכור ולייצר כמויות של בגדים  מהעסק הגדול כבר התחיל להתגלגל  izraeli under ground מה זה? אתה שואל...  במקום למכור ת'תקליטים בחנויות  עכשיו הכל נופל עליכם מהרחובות....  אנחנו לא מפסיקים (לא!) , בלי תירוצים (לא!)  עכשיו מאוחדים את הבמות מפוצצים,  לא ניתן (לא!) לאף אחד אותנו לעצור,  אנחנו לא ניפול לא נלך לאחור...  לא לא מפסיקים (לא!) , בלי תירוצים (לא!)  עכשיו מאוחדים את הבמות מפוצצים,  לא ניתן (לא!) לאף אחד אותנו לעצור,  אנחנו לא ניפול לא נלך לאחור...  בינתיים לא חותמים עם אף אחד  יש לנו לייבל משלנו ואנחנו יד ביד  כי המוסיקה כאן, זה ממש פצצת",1,זורם,Norod78/HebrewStageAndLyricsWithNewLines
"איזה טעמים   מגוגי- מה?? חיות, ולהזמין חיה מעורבבת! גוגי- לא נכון! זה אומר שמתי שהוא אנחנו נוכל ללכת לחנות   מגוגי-  גדול, גוגי? זה מפחיד!   גוגי- וואוו!! זה גדול!!   מגוגי- כן. אחרת?? גוגי- רגע! והם יכולים לקחת כל חיה ולערבב אותה עם כל חיה   מגוגי- בדיוק, גוגי.   גוגי-  או תרנגולת קטנטנה עם נקודות אדומות שאוכלת עלים! משה גדולה עם כרבולת שעושה קוקוריקו. רבנו, לשים בתוך מיקסר, ברררררר, והופ! לקבל פרת אותו עם די אנ איי של פרת משה מגוגי- בדיוק. הם יכולים לקחת די אנ איי של תרנגול, לערבב   גוגי- לערבב??             של כל מיני יצורים, ולערבב ביניהם! הם יכולים גם לקחת די אנ איי מגוגי- מפני שזה לא הכל. המדענים יכולים לא רק לשכפל יצור, בכלל? גוגי- וואוו. אז בשביל מה צריך את כל ההנדסה הגנטית הזאת   מגוגי- בדיוק.                     תשע מאות אלף, תשע מאות תשעים ו-- אם יהרגו סדאם אחד, אז יהיו עוד גוגי (מהורהר)- נכון.. וככה גם אי אפשר יהיה להילחם בו, כי כמו עצמו. אז מליון עותקים קטנים יחשבו כמוהו, כי הוא חושב הוא ישכפל את עצמו במליון עותקים, מגוגי-  כי הוא רוצה שכולם יחשבו כמוהו, לא? בגלל זה אם   ",1,מפחיד,Norod78/HebrewStageAndLyricsWithNewLines
"אוקיי חרמנים שלי הנה שיר על סקס  וכרגיל אצלי כמובן שלטקסט אין ברקס  כי במילים כמו במיטה אני פשוט חסר רסן  זוכרת איך עשינו את זה על המרפסת  לסת שידרה כל הגוף זה המוטו  זוכרת איך הרגשת אותי בפנים בתוך האוטו?  כמו ב- LOVE BOAT זה מסע תענוגות  איך אוכל לשכוח את חדר המדרגות?  טיפות זולגות מכל חור בגוף  ופתאום בתחתונים שלי נהיה צפוף  הבולבול זקוף לא כפוף לחוקים של הגרביטציה  מחפש את החריץ כדי לבצע אינטרקציה  (אני חש בזה, אני חש בזה)  וכשהזין עומד, הראש עמוק בתחת  מנשק מלקק רק מהרוק נהיה מקלחת  גם השיניים שלך ושלי עובדות  הנאה ברעידות על קצות האצבעות  כמו בשיר ההוא, חשמל זורם בכפות של הידיים  מלטף לך את החלק הפנימי של הירכיים את השדיים  את הפטמות שעומדות ועוד שניה או שתיים  אגש אל השפתיים של הפות פות פות שמצפות פות פות  תחת, צוואר, כוס, חזה (אני חש בזה, אני חש בזה)  תחת, צוואר, כוס, חזה (אני חש בזה, אני חש בזה)  זה שיר ארוטי לא גס מתאר את המצב רגע לפני שאני נכנס  מאבד ת'פוקוס מיד כשנוגע במלונים  עוד מעט נראה את סטיב אוסטין האיש ששווה מיליונים  שהוזה כל היום על הפתח בין רגלייך  על האי השחור",1,"חור,זורם",Norod78/HebrewStageAndLyricsWithNewLines
"ואמרתי לה שאם בה לה אז שתתקשר."" הטלפון אז אמרתי לה שלא ונתתי לה את המספר שלי שכבר הכנתי ""היא שאלה אותי אם אני באמת חושב שהיא תיתן לי סתם ככה את ""והיא נתנה לך?"" היא שאלה אותי מופתעת שלה"" זמן עכשיו בשביל הדברים האלו אבל אני חייב את המספר טלפון ""החנתי את המכונית, ניגשתי אליה ואמרתי לה שאני יודע שאין לה ""אז מה עשית?"" הכבוד העצמי."" להתחיל איתה. הייתי מבואס רצח והייתי חייב להעלות לי קצת את ראיתי מלצרית מדהימה באיזה בית קפה. אמרתי לעצמי שאני חייב ""חמש דקות אחרי שיצאתי ממנה עמדתי ברמזור, הסתכלתי ימינה, ואז לקרות?"" ""אה באמת?"" היא חשבה בטח כבר שהיא שמעה הכל ""מה עוד היה יכול ""חכי. עדיין לא שמעת את החלק הטוב!"" חייכתי חיוך זדוני לך. רק אצלך זה יכול לקרות"" היא חייכה. ""טוב"" היא שמה את ידיה על הברכיים שלה "" מה אני יכולה להגיד שלך. מטורפת. אבל לפחות זה הבהיר לה שאין מצב."" שיחות שלא נענו. 81 שיחות יולי! את לא ראית כזה דבר בחיים העיקר שהייתי על איילון בדרך הביתה. יום אחרי זה היו לי 81 שהיא מבינה  ועוד כל מיני שטויות. מה זה משנה מה היא אמרה. "" אמרתי לה שאני ממש ממש מצטער ושאני חייב לעזור לו והיא אמרה ""מה",1,רצח,Norod78/HebrewStageAndLyricsWithNewLines
"קורת גג              א. ניתן לישון על חול הים. כל הדרוש זה שמיכה. שתייה ע""ב ברזים, שרותים ע""ב הים.             ב. ניתן לישון בגינות ציבוריות, לא בפארקים של כלבים, באזורים יחסית טובים. רצוי להיצמד לעצים או שיחים ע""מ לא למשוך אש.             ג. היזכר במכריך מהזמנים הטובים ובקש מהם ""ג'סטה קטנה"", להתגורר אצלם ל""תקופה-קצרה-עד-שתמצא-דירה"" לחם:                 א. ניתן לאסוף בחינם כמויות גדולות של מזון בשעת סגירת השווקים (אזור 7 בערב במרבית הערים ביקום).             ב. ניתן לאכול במסעדות ו""לשכוח את הארנק"", עקב כך להציע תשלום בניקיון כלים, חלונות וכו'. קיים חשש לקבלת מכות נמרצות ביותר עקב שימוש בשיטה זאת.             ג. ממש כמו הסעיף הקודם, רק בלי סיבוכים או יסורי מצפון. אוכלים, שותים בורחים.                 ד. זהה בעלים של דוכן מזון עממי והתחנן למזון תוך כדי שימוש באכנ""ש (אהלן-כפרה-נשמה) ובמיקרים קיצוניים במא""ג (מה-אחי-גבר). נשים יכולות פשוט לבקש.             ה. היכנס לרשתות שיווק גדולות (לא מכולות), קנה מלא שקיות מלאות מזון טעים, ואז לך באיטיות ובבטחה ליציאה. אם וכאשר עוררת חשד, ברח. כניראה",1,אש,Norod78/HebrewStageAndLyricsWithNewLines
"תן לעולם לעשות מה שהוא רוצה, ואתה? אתה תעשה מה שאתה רוצה.                                         ג'רמי                                          טום אתה יודע מה, העולם לא רוצה אותך? תראה לו שאתה לא שם עליו פס בחזרה, תראה להם שלא משנה מה יעשו, אתה תהיה אדם טוב, תשרוד, תחיה טוב. תראה להם. הנקמה הכי טובה זה לחיות טוב, לא לוותר.                                         ג'רמי זה לא מה שג'רי סיינפלד אמר בסטנדאפ, אחרי התוכנית ביום שבת?                                          טום כן.                                         ג'רמי רעיון טוב, לא ""לחיות טוב"" זה היה חרא של רעיון, כי זה בלתי אפשרי. אבל לנקום, כן צריך לנקום במיוחד במורה המפגרת ההיא.                                          טום לנקום כמו שאתה חושב זה שלילי. עזוב לנקום תן לזמן לעשות את שלו, דברים משתנים. ג'רמי קם בעצבים.                                         ג'רמי די נמאס לי, כל פעם אומרים, ""חכו מחר יום חדש דברים משתנים המזל משתנה, מה וקרה שהמזל לא משתנה, מה קורה שהמחר הטוב לא מגיע מה אז? איך אני מת לעצור את הזמן. בזמן הנאום של ג'רמי",1,מת,Norod78/HebrewStageAndLyricsWithNewLines
"חייבת לרשום את זה, משפט כל כך נכון, נהג: גם אני חייב לרשום את זה...  כל השאר: לאאאאאאאאאאאאא!! המונית: אני  מתהפכת על צלע הר נהג: הייתי צריך להשאר בחברא קדישא, לפחות שם אתה יכול להגיע לפנסיהההה (המכונית עפה למטה ופחוסונת ועפיצון קופצים מהחלון בדרך ונוחתים בתוך הלול של התינוק של שמנמונת ועפיפון) פ: אההההה נכנס לי אקדח צעצוע לרקטום! ע: (מנופף לשמנמונת שפוערת את פיה בפליאה לעברם) וואטס אפ שמנמונת? מערכה שניה  תמונה ראשונה  ע: פחוסונת, לא תאמיני,  פ: מה?  ע: זכיתי בלוטו!  פ: אתה רציני? ע: פחוסונת, אנחנו עשירים! פ: יש! סוף סוף נוכל לקנות בית בכפר. ע: שום כפר, עוברים לתל אביב.  פ: לא ,מה פתאום ,זאת סתם עיר מגעילה,  (משאית עוצרת ליד פחוסונת ועפיצון)  פלוץ: חבריא, מה קורה?  (במבטא אוקספורדי כבד)  רוצים שאני אקריא לכם את תיאורית הפחיזה של  פופו שמסוסה? (מוציא שלושים כרכים)  פ: עפיצון, איפה הכביש לתל אביב, לוקחים טרמפים! ע: יה בייבי יה! תמונה שניה  (פחוסונת ועפיצון בשוק, פחוסונת מרגישה חרדה מעומס האנשים ) פ: עפיצון בוא נלך מכאן זה מפחיד אותי. ע: מה קורה לך ,אז אנשים צועקים לך באוזן עגבניה בשקל",1,מפחיד,Norod78/HebrewStageAndLyricsWithNewLines
"נירדמת שם וחלמת את זה, אחי. תחזור לישון."" ניסיתי. בשלב הזה כבר הייתי מאד ערני. אין ספק שיש לו בעיה רצינית. אחרי שהוא שמע את עצמו אומר את זה בקול, הוא ממש התחיל לחרחר. ל-601 ורוצה לעבור."" עליו אבל תודה, ואני עליתי בקשר ואמרתי שמברג אלוהים הגיע עיסאם התחיל לנסות להסביר לו שהוא בכלל דרוזי וזה לא תופס לנו שבא לציון גואל, ושנפיץ את זה בארבע כנפות הארץ וכאלה. אז עיסאם, ושנינו היינו ככה המומים. אחרי דקה שהוא מלמל, הוא אמר לבן, הגיע למחסום. הוא הרים את הידיים וכאילו בירך אותי ואת ""כן, בן אדם זקן עם עיניים טובות כאלו, לבוש כולו בלבן, חמור ""הגיע מלמטה, מהצומת?"" לגמרי...."" הוא ממש רעד. ""לפני חצי שעה, אני קולט בן אדם עם חמור לבן, אחי, לבן לא הבנתי כלום. ""מה פאלפלים? המשיח, משיח בן דוד, לא נתנו לו לעבור במחסום."" ""מי זה המשיח? כמה פאלפלים היו לו?"" הבנתי כבר לגמרי מה היה. ""הרבה יותר גרוע. דון, גירשתי את המשיח"". ""מה קרה שוורצמן? זה שוב החיידק הטורף?"" שאלתי כבר די עירני. ""הרבה אנשים ימותו בגללי, דון. זה רציני."" הוא נשמע רועד. ""מישהו מת?"" שאלתי מנסה להישמע הכי מנומנם שאפשר. ""אני חושב שעשיתי טעות."" הוא",1,מת,Norod78/HebrewStageAndLyricsWithNewLines
